00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 2 à 2
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=956 R=1 S=06/10/24 E=06/10/24 +329 =298 -329
012 Belgian Interclubs 2024 - 2025 - Round 2
022 Various locations in Belgian Clubs
032 BEL
042 2024-10-06
052 2024-10-06
062 956
102 Cornet, Luc
132                                                                                        24.10.06 
001    1      Zelbel, Patrick                   2490           12330             0.5          2 w = 
001    2      Dgebuadze, Alexandre              2401           49301             0.5          1 b = 
001    3      Pham, Khoi                        2270           24764             0.5          4 w = 
001    4      Hausrath, Daniel                  2471           96784             0.5          3 b = 
001    5      Hautot, Stéphane                  2355           91308             0.5          6 w = 
001    6      Cesar Maestre, Bernardo           2369           29476             0.5          5 b = 
001    7      Matnadze, Ana                     2309           17438             0.0          8 w 0 
001    8      Schuh, Dirk                       2362           13604             1.0          7 b 1 
001    9      Gulbas, Cemil                     2340           91367             1.0         10 w 1 
001   10      De Rover, Yong Hoon               2318           16455             0.0          9 b 0 
001   11      Blom, Vincent                     2262           14781             0.5         12 w = 
001   12      Panjer, Sidney                    2236           29296             0.5         11 b = 
001   13      Ricken, Katharina                 2206           23656             0.5         14 w = 
001   14      Damen, Jip                        2313           19646             0.5         13 b = 
001   15      Duson, Robin                      2177           29152             0.5         16 w = 
001   16      Thirion, Marcel                   2048           97136             0.5         15 b = 
001   17      Vandenbussche, Thibaut            2436           25836             1.0         18 w 1 
001   18      Godart, François                  2381           71757             0.0         17 b 0 
001   19      Fontaine, Quentin                 2331           10483             0.5         20 w = 
001   20      Leenhouts, Koen                   2444           35181             0.5         19 b = 
001   21      Geirnaert, Steven                 2418           10391             0.5         22 w = 
001   22      Lenaerts, Lennert                 2310            3003             0.5         21 b = 
001   23      Kollen, Zyon                      2347           26836             0.5         24 w = 
001   24      De Schampheleire, Glen            2379           10270             0.5         23 b = 
001   25      Piceu, Tom                        2336           51861             1.0         26 w 1 
001   26      Heldenbergh, Nils                 2147           14450             0.0         25 b 0 
001   27      Bodicky, Michal                   2186           26955             1.0         28 w 1 
001   28      Meysman, Kaito                    2077           16017             0.0         27 b 0 
001   29      De Vogelaere, Robin               2069           40461             1.0         30 w 1 
001   30      De Winter, Roman                  1838           22673             0.0         29 b 0 
001   31      Naa, Xavier                          0           29402             0.0         32 w 0 
001   32      Van Coppenolle, Lander            1949           19360             1.0         31 b 1 
001   33      Sirosh, Ilja                      2363           24765             1.0         34 w 1 
001   34      Lesueur Rognerud, Gabriel         2256           27343             0.0         33 b 0 
001   35      Decrop, Benjamin                  2213           28436             0.5         36 w = 
001   36      Goossens, Roel                    2371           23108             0.5         35 b = 
001   37      Dauw, Sterre                      2276           15269             0.0         38 w 0 
001   38      Decrop, Hendrik                   2134           28908             1.0         37 b 1 
001   39      Bouhallel, Rabah                  2234            1759             1.0         40 w 1 
001   40      Praet, Maarten                    2225            6084             0.0         39 b 0 
001   41      Tonoli, Benjamin                  2196           16365             1.0         42 w 1 
001   42      Timmerman Gert, Jan               2170           43648             0.0         41 b 0 
001   43      Demarcke, Dirk                    2153           55999             0.5         44 w = 
001   44      Verheyden, Jonas                  2116           32328             0.5         43 b = 
001   45      Walter, Ema                       2044           27232             0.0         46 w 0 
001   46      Roger, Mehdi                      2109           76368             1.0         45 b 1 
001   47      Decrop, Ruben                     2013           45608             0.0         48 w 0 
001   48      Slootmaekers, Romain              2004            8613             1.0         47 b 1 
001   49      Gurevich, Mikhail                 2576           70092             0.5         50 w = 
