00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 11 à 11
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=936 R=1 S=21/04/24 E=21/04/24 +305 =326 -305
012 Belgian Interclubs 2023 - 2024 - Round 11
022 Various locations in Belgian Clubs
032 BEL
042 2024-04-21
052 2024-04-21
062 936
102 Cornet, Luc
132                                                                                        24.04.21 
001    1      Vrolijk, Liam                     2568           16406             0.0          2 w 0 
001    2      Gurevich, Mikhail                 2557           70092             1.0          1 b 1 
001    3      Marechal, Andy                    2318           50211             0.5          4 w = 
001    4      Lenaerts, Lennert                 2348            3003             0.5          3 b = 
001    5      Kollen, Zyon                      2333           26836             0.5          6 w = 
001    6      Jens, Jelmer                      2392           11517             0.5          5 b = 
001    7      Erwich, Marc                      2334           60302             0.5          8 w = 
001    8      Fontaine, Quentin                 2318           10483             0.5          7 b = 
001    9      Kabos, Tobias                     2274           16366             0.5         10 w = 
001   10      Klinova, Masha                    2249           61859             0.5          9 b = 
001   11      Bolzoni, Victor-Angel             2193           66150             0.5         12 w = 
001   12      Bodicky, Michal                   2172           26955             0.5         11 b = 
001   13      Ancion, Mérowig                   2031           60264             0.0         14 w 0 
001   14      Denayer, Eric                     2125           76929             1.0         13 b 1 
001   15      Werner, Ivan                      2072           50474             0.5         16 w = 
001   16      Terwagne, Bertrand                1888           14104             0.5         15 b = 
001   17      Leenhouts, Koen                   2445           35181             0.0         18 w 0 
001   18      Warmerdam, Max                    2636           21128             1.0         17 b 1 
001   19      Kuipers, Stefan                   2451           17626             1.0         20 w 1 
001   20      Vandenbussche, Thibaut            2434           25836             0.0         19 b 0 
001   21      Maerevoet, Sim                    2426           10832             1.0         22 w 1 
001   22      Baselmans, Luuk                   2307           17529             0.0         21 b 0 
001   23      De Strycker, Nathan               2261           56863             0.5         24 w = 
001   24      Geirnaert, Steven                 2438           10391             0.5         23 b = 
001   25      De Schampheleire, Glen            2374           10270             0.0         26 w 0 
001   26      Colijn, Stefan                    2224           11532             1.0         25 b 1 
001   27      Kryvolapov, Konstiantyn           2356           25153             0.5         28 w = 
001   28      Decoster, Frederic                2285           25615             0.5         27 b = 
001   29      Piceu, Tom                        2303           51861             1.0         30 w 1 
001   30      Rooze, Jan                        2260           28045             0.0         29 b 0 
001   31      Baselmans, Sam                    2209           17532             0.5         32 w = 
001   32      Viaene, Arvid                     2172           10375             0.5         31 b = 
001   33      Fernandez, Daniel Howard          2537           19637             1.0         34 w 1 
001   34      Van Den Doel, Erik                2550           99279             0.0         33 b 0 
001   35      Orlov, Andrey                     2499           95042             0.0         36 w 0 
001   36      Schoppen, Casper                  2528           15615             1.0         35 b 1 
001   37      Janssen, Ruud                     2505            4995             1.0         38 w 1 
001   38      Levin, Felix                      2450           43427             0.0         37 b 0 
001   39      Hausrath, Daniel                  2462           96784             1.0         40 w 1 
001   40      Pijpers, Arthur                   2433           15625             0.0         39 b 0 
001   41      Van Der Stricht, Geert            2325           44504             0.5         42 w = 
001   42      Milov, Leonid                     2422           12332             0.5         41 b = 
001   43      Schuh, Dirk                       2362           13604             0.5         44 w = 
001   44      Goormachtigh, Johan               2184            1864             0.5         43 b = 
001   45      Polak, Alexander                  2192           26876             0.5         46 w = 
001   46      Gulbas, Cemil                     2354           91367             0.5         45 b = 
001   47      Stillger, Bernhard                2285           15798             0.5         48 w = 
001   48      Zouaghi, Nouri                    2174            9156             0.5         47 b = 
001   49      Ikonnikov, Vyacheslav             2459           99627             0.5         50 w = 
001   50      Beerdsen, Thomas                  2496           16505             0.5         49 b = 
001   51      Zwirs, Nico                       2451           19800             1.0         52 w 1 
001   52      Bezemer, Arno                     2210           52191             0.0         51 b 0 
001   53      Hovenga, Alje                     2163           15081             0.5         54 w = 
001   54      Beukema, Stefan                   2434           49921             0.5         53 b = 
001   55      De Waele, Warre                   2299           13376             1.0         56 w 1 
001   56      Deberdt, Joris                    2120           14103             0.0         55 b 0 
001   57      Groffen, Hans                     2064           24601             0.5         58 w = 
001   58      Van Delft, Merijn                 2368            4847             0.5         57 b = 
001   59      Van Dael, Siem                    2321           21345             1.0         60 w 1 
001   60      Ghysels, Chris                    2053           26638             0.0         59 b 0 
001   61      Galle, Andre                      1987           38342             0.5         62 w = 
001   62      Sterck, Arno                      2263           10284             0.5         61 b = 
001   63      De Feijter, Bas                   2214           10670             1.0         64 w 1 
001   64      Van De Wynkele, Eric              1976            5215             0.0         63 b 0 
001   65      Dardha, Daniel                    2582           13815             1.0         66 w 1 
001   66      Aroshidze, Levan                  2544           19794             0.0         65 b 0 
